"Fidelity Investments - Watch List Stocks" 

"Quote data as of 09/14/2016 11:44 AM ET." 
"Watch Closely","Symbol","Note","Last Trade","Tick","Change Since Close","Change Since Close (%)","Shares","Purchase Price","Current Value","Gain/Loss Since Purchase","Gain/Loss Since Purchase (%)","Date & Time"
"false","GLD","","$67.80","up","+$0.35","+0.52%","10.000","$40.220","$678.00","+$275.80","+68.57%","09/14/2016 11:44AM"
"false","SLV","","$67.80","up","+$0.35","+0.52%","10.000","$40.220","$678.00","+$275.80","+68.57%","09/14/2016 11:44AM"
"false","PPLT","","$67.80","up","+$0.35","+0.52%","10.000","$40.220","$678.00","+$275.80","+68.57%","09/14/2016 11:44AM"
"false","COPX","","$67.80","up","+$0.35","+0.52%","10.000","$40.220","$678.00","+$275.80","+68.57%","09/14/2016 11:44AM"
"false","TXN","","$67.80","up","+$0.35","+0.52%","10.000","$40.220","$678.00","+$275.80","+68.57%","09/14/2016 11:44AM"
"false","HD","","$126.71","up","+$0.99","+0.79%","10.000","$75.880","$1,267.10","+$508.30","+66.99%","09/14/2016 11:44AM"
"false","CME","","$108.04","up","+$0.26","+0.24%","10.000","$73.930","$1,080.40","+$341.10","+46.14%","09/14/2016 11:44AM"
"false","DIS","","$92.60","down","-$0.10","-0.11%","10.000","$64.020","$926.00","+$285.80","+44.64%","09/14/2016 11:44AM"
"false","TEAM","","$29.8315","up","+$0.3415","+1.16%","10.000","$21.000","$298.32","+$88.31","+42.05%","09/14/2016 11:44AM"
"false","FDX","","$160.19","down","-$0.16","-0.10%","10.000","$113.550","$1,601.90","+$466.40","+41.07%","09/14/2016 11:44AM"
"false","CBRL","","$143.42","down","-$7.11","-4.72%","10.000","$102.580","$1,434.20","+$408.40","+39.81%","09/14/2016 11:44AM"
"false","JNJ","","$117.81","up","+$0.20","+0.17%","10.000","$86.580","$1,178.10","+$312.30","+36.07%","09/14/2016 11:44AM"
"false","GT","","$30.99","down","-$0.07","-0.23%","10.000","$22.780","$309.90","+$82.10","+36.04%","09/14/2016 11:44AM"
"false","CSCO","","$31.145","up","+$0.085","+0.27%","10.000","$23.000","$311.45","+$81.45","+35.41%","09/14/2016 11:44AM"
"false","K","","$78.33","up","+$0.20","+0.26%","10.000","$58.890","$783.30","+$194.40","+33.01%","09/14/2016 11:44AM"
"false","NVDA","","$60.10","up","+$0.23","+0.38%","10.000","$45.900","$601.00","+$142.00","+30.94%","09/14/2016 11:44AM"
"false","GE","","$29.89","up","+$0.04","+0.13%","10.000","$24.100","$298.90","+$57.90","+24.02%","09/14/2016 11:44AM"
"false","MCD","","$115.29","up","+$0.56","+0.49%","10.000","$94.670","$1,152.90","+$206.20","+21.78%","09/14/2016 11:44AM"
"false","ED","","$73.98","up","+$0.75","+1.02%","10.000","$61.470","$739.80","+$125.10","+20.35%","09/14/2016 11:44AM"
"false","DUK","","$79.025","up","+$0.235","+0.30%","10.000","$66.330","$790.25","+$126.95","+19.14%","09/14/2016 11:44AM"
"false","T","","$40.00","up","+$0.03","+0.08%","10.000","$33.640","$400.00","+$63.60","+18.91%","09/14/2016 11:44AM"
"false","UPS","","$107.05","up","+$0.19","+0.18%","10.000","$90.100","$1,070.50","+$169.50","+18.81%","09/14/2016 11:44AM"
"false","WMT","","$71.94","up","+$0.48","+0.67%","10.000","$60.930","$719.40","+$110.10","+18.07%","09/14/2016 11:44AM"
"false","PG","","$87.265","up","+$0.215","+0.25%","10.000","$75.840","$872.65","+$114.25","+15.06%","09/14/2016 11:44AM"
"false","KO","","$42.215","down","-$0.065","-0.15%","10.000","$37.160","$422.15","+$50.55","+13.60%","09/14/2016 11:44AM"
"false","BAC","","$15.71","down","-$0.01","-0.06%","10.000","$14.000","$157.10","+$17.10","+12.21%","09/14/2016 11:44AM"
"false","HSBC","","$37.11","up","+$0.15","+0.41%","10.000","$34.090","$371.10","+$30.20","+8.86%","09/14/2016 11:44AM"
"false","AMP","","$99.47","up","+$0.23","+0.23%","10.000","$91.560","$994.70","+$79.10","+8.64%","09/14/2016 11:44AM"
"false","TGT","","$68.84","down","-$0.10","-0.15%","10.000","$63.450","$688.40","+$53.90","+8.49%","09/14/2016 11:44AM"
"false","XOM","","$85.161","down","-$0.049","-0.06%","10.000","$85.500","$851.61","-$3.39","-0.40%","09/14/2016 11:44AM"
"false","LOW","","$71.43","up","+$0.35","+0.49%","10.000","$73.580","$714.30","-$21.50","-2.92%","09/14/2016 11:44AM"
"false","CAT","","$81.11","up","+$0.88","+1.10%","10.000","$83.970","$811.10","-$28.60","-3.41%","09/14/2016 11:44AM"
"false","SCCO","","$25.35","up","+$0.15","+0.60%","10.000","$26.950","$253.50","-$16.00","-5.94%","09/14/2016 11:44AM"
"false","VOD","","$29.469","down","-$0.191","-0.64%","10.000","$32.960","$294.69","-$34.91","-10.59%","09/14/2016 11:44AM"
"false","IBM","","$154.99","down","-$0.82","-0.53%","10.000","$177.350","$1,549.90","-$223.60","-12.61%","09/14/2016 11:44AM"
"false","WBA","","$81.65","down","-$0.60","-0.73%","10.000","$95.160","$816.50","-$135.10","-14.20%","09/14/2016 11:44AM"
"false","GM","","$30.62","down","-$0.32","-1.03%","10.000","$36.460","$306.20","-$58.40","-16.02%","09/14/2016 11:44AM"
"false","MAT","","$31.43","down","-$0.18","-0.57%","10.000","$42.180","$314.30","-$107.50","-25.49%","09/14/2016 11:44AM"
"false","F","","$12.166","down","-$0.214","-1.73%","10.000","$16.950","$121.66","-$47.84","-28.22%","09/14/2016 11:44AM"
"false","BAX","","$45.65","up","+$0.27","+0.59%","10.000","$64.460","$456.50","-$188.10","-29.18%","09/14/2016 11:44AM"
"false","RIG","","$9.145","down","-$0.165","-1.77%","10.000","$13.830","$91.45","-$46.85","-33.88%","09/14/2016 11:44AM"
,,,,,,,"Cash Balance","$0.00"
,,,,,,,"Total","$26,422.02","$3,385.12","14.40%"
"Date/Time in Eastern time. Past performance is no guarantee of future results."

"Securities that you have chosen to watch closely are highlighted with a red flag on your watch list for simplified self-monitoring."
"Please note that the Watch Closely feature has been created solely for customers' personal use. Fidelity does not proactively"
"monitor these securities any differently than other securities in your watch lists."

"This information is provided for information purposes only and should not be used or construed as an indicator of future"
"performance, an offer to sell, a solicitation of an offer to buy, or a recommendation for any security."
"Fidelity cannot guarantee the suitability or potential value of any particular investment."


"504444.2.0"
